Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily_Return,7_Day_Moving_Avg,HighVolatility,Above_Moving_Avg,Symbol
2025-09-17 00:00:00-04:00,238.09049720761,239.21634322602875,236.85505542454317,238.1104278564453,46508000,0.0,0.0,0.01,238.11,0,1,AAPL
2025-09-18 00:00:00-04:00,239.08682096339743,240.31228984200703,235.77903252032195,237.0045166015625,44249600,0.0,0.0,-0.87,237.56,0,0,AAPL
2025-09-19 00:00:00-04:00,240.3421770415445,245.3935247988757,239.32594197772087,244.59646606445312,163741300,0.0,0.0,1.77,239.9,0,1,AAPL
2025-09-22 00:00:00-04:00,247.38616206443075,255.69547916115812,247.2068166293636,255.13751220703125,105517400,0.0,0.0,3.13,243.71,1,1,AAPL
2025-09-23 00:00:00-04:00,254.9382669065294,256.3928850249964,252.646728760892,253.49359130859372,60275200,0.0,0.0,-0.57,245.67,0,1,AAPL
2025-09-24 00:00:00-04:00,254.2807025242173,254.7987929994329,250.11607847800005,251.38140869140625,42303700,0.0,0.0,-1.14,246.62,0,1,AAPL
2025-09-25 00:00:00-04:00,252.2781032462208,256.2235357177961,250.7836237831838,255.92462158203125,55202100,0.0,0.0,1.45,247.95,0,1,AAPL
2025-09-26 00:00:00-04:00,253.1648258525147,256.6519445821492,252.84599627139943,254.5198211669922,46076300,0.0,0.0,0.54,250.29,0,1,AAPL
2025-09-29 00:00:00-04:00,253.62311772285491,254.06150078407973,252.07881928540596,253.49359130859372,40127700,0.0,0.0,-0.05,252.65,0,1,AAPL
2025-09-30 00:00:00-04:00,253.92203562343897,254.9781320575181,252.17847617402816,253.69288635253903,37704300,0.0,0.0,-0.09,253.95,0,0,AAPL
2025-10-01 00:00:00-04:00,254.10134722927504,257.83756097799323,253.9917514638179,254.5098419189453,48713900,0.0,0.0,0.16,253.86,0,1,AAPL
2025-10-02 00:00:00-04:00,255.6356607808825,257.229778167004,253.2146115335708,256.18365478515625,42630200,0.0,0.0,0.21,254.24,0,1,AAPL
2025-10-03 00:00:00-04:00,253.73271197999827,258.2858846694617,253.01536064819075,257.07037353515625,49155600,0.0,0.0,1.32,255.06,0,1,AAPL
2025-10-06 00:00:00-04:00,257.0405037108186,258.1165459888059,254.11133663097664,255.74530029296875,44664100,0.0,0.0,-0.5,255.03,0,1,AAPL
2025-10-07 00:00:00-04:00,255.86485915808865,256.4526841311554,254.48993311029045,255.5360870361328,31955800,0.0,0.0,-0.13,255.18,0,1,AAPL
2025-10-08 00:00:00-04:00,255.5758888188916,257.5685279874928,255.16739414069707,257.1102294921875,36496900,0.0,0.0,0.6,255.69,0,1,AAPL
2025-10-09 00:00:00-04:00,256.8611554198282,257.0504585775582,252.2083446799687,253.1050262451172,38322000,0.0,0.0,-1.46,255.61,0,0,AAPL
2025-10-10 00:00:00-04:00,254.0017340209507,255.43643674947077,243.10199461677743,244.3673248291016,61999100,0.0,0.0,-3.79,254.16,0,0,AAPL
2025-10-13 00:00:00-04:00,248.46219085423505,248.7710475029622,244.6562426215344,246.7485198974609,38142900,0.0,0.0,-0.69,252.81,0,0,AAPL
2025-10-14 00:00:00-04:00,245.69241642712316,247.93413549962375,243.79940008876653,246.8581085205078,35478000,0.0,0.0,0.47,251.35,0,0,AAPL
2025-10-15 00:00:00-04:00,248.5717898296712,250.8932163906544,246.559219921403,248.42233276367188,33893600,0.0,0.0,-0.06,250.31,0,0,AAPL
2025-10-16 00:00:00-04:00,247.33635013275975,248.1234359576197,244.22783772705108,246.53929138183597,39777000,0.0,0.0,-0.32,249.02,0,0,AAPL
2025-10-17 00:00:00-04:00,247.1072067041429,252.4474806979352,246.3599669580113,251.36148071289065,49147000,0.0,0.0,1.72,248.2,0,1,AAPL
2025-10-20 00:00:00-04:00,254.94822099113512,263.4069798400544,254.68918336894043,261.2748413085937,90483000,0.0,0.0,2.48,249.37,1,1,AAPL
2025-10-21 00:00:00-04:00,260.9161783410852,264.3136317818121,260.86634411857244,261.8028869628906,46695900,0.0,0.0,0.34,251.86,0,1,AAPL
2025-10-22 00:00:00-04:00,261.68336485657886,261.882640960004,254.48993535873984,257.49884033203125,45015300,0.0,0.0,-1.6,253.39,0,1,AAPL
